Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
6427,https://www.facebook.com/share/p/1BiEzNJThv/,แชร์ไว้ให้เพื่อนดูเลย ศูนย์แบบนี้แหละที่ควรไป #แชร์ประสบการณ์ #viral #fyp,5,5,1,,,,,
43843,https://www.facebook.com/share/1MRVmqixjN/?mibextid=wwXIfr,ศูนย์ที่บริการดี และอบอุ่นขนาดนี้ เป็นของคุณนะ❤️ #แชร์ประสบการณ์ #viral #fyp,5,0,,,,,,
193074,https://www.facebook.com/share/1EEA3THa67/?mibextid=wwXIfr,ที่ที่ดีคือที่ค็อกพิท💛 #แชร์ประสบการณ์ #viral #fyp,0,0,,,,,,
232258,https://www.facebook.com/amblessty/posts/pfbid0cJC5ZFfshiFA6K132zVc3mHDaD34a4dMB1nk1T8ejP8GGcufKqak5Ltd82bR2xgVl,บริการชนะเลิศ แนะนำเลย  #แชร์ประสบการณ์ #viral #fyp,0,0,,,,,,
237595,https://www.facebook.com/share/1AqMUE7qYf/?mibextid=wwXIfr,ดูปุ้บ ต้องนัดเลย  #แชร์ประสบการณ์ #viral #fyp,2,0,,,,,,
299491,https://www.facebook.com/share/1esboGVZ6J/?mibextid=wwXIfr,ไปกี่ครั้งก็ประทับใจ  #แชร์ประสบการณ์ #viral #fyp,1,0,,,,,,
559321,https://www.facebook.com/share/1FywHRUf4H/?mibextid=wwXIfr,ที่ที่คนใช้รถบอกต่อกัน👍🏻 #แชร์ประสบการณ์ #viral #fyp,2,0,,,,,,
697794,https://www.facebook.com/share/1AQdUXoYmy/?mibextid=wwXIfr,ชอบหนังเซ็ทนี้ทุกตอน💓 #แชร์ประสบการณ์ #viral #fyp,2,0,,,,,,
756974,https://www.facebook.com/share/1ANNGMA56T/?mibextid=wwXIfr,ยิ่งกว่าโปรคุ้มคือพี่ช่างหล่อ #แชร์ประสบการณ์ #viral #fyp,1,0,,,,,,
760071,https://www.facebook.com/share/1AUhuxRkw3/?mibextid=wwXIfr,มาดูหนังตอนนี้กัน ขมวดจบทุกปม คนใช้รถสบายใจ #แชร์ประสบการณ์ #viral #fyp,0,0,,,,,,
770027,https://www.facebook.com/100003688798640/posts/pfbid08NGr4jHpoQUBdBeqQAyAenRHsebCdP5FswS7Jk3qNDfFbDrEbZvKaugHZ7SZBJ8rl/?,รู้ว่า Cockpit ดี ก่อนหนังจะออกมาอีก555👀💛#แชร์ประสบการณ์ #viral #fyp,3,0,,,,,,
1315304,https://www.facebook.com/share/1G7fDDdp7g/,บริการดี โปรก็ดี 🤍 #แชร์ประสบการณ์ #viral #fyp,48,13,,,,,,
511299,https://www.facebook.com/parwinee.vaiyavatjamai.2025/posts/pfbid02uuyDBN9LZtxH6nRku6KUY1rhm9noLiaeA9zNYqy1HjhXkcX638warwQesXuaapYLl?__cft__[0]=AZalbuQ-kFKN-9CzQM4V77KNax9LXKXJHmKeE1X5_4SYvRFCtxVO7RSyOsdPHWSRWbig9iCGUKcviXDt99PnL3iPODZMNAdFCuk7nJ1SDWaUxKmQWSurrkvcLQOPs5uO2uRqQ7wcGln4wU08PWg5GAyXwwEgTujsjObDlPPeMedGAgZwKtiQTsPW8gYIYoSz9X4&__tn__=%2CO%2CP-R,ดูจบแล้ว จองคิวต่อได้เลย   #แชร์ประสบการณ์ #viral #fyp,0,0,,,,,,
594814,https://www.facebook.com/namwan.indy.39/posts/pfbid02wXE4XGcevfLY6VDoZ1KaQ9strjTENd5VP4AFkdXoU1Ft19HJWnTJWMCb1ygazhn8l,เรื่องรถมันก็ต้องค็อกพิทป้ะ   #แชร์ประสบการณ์ #viral #fyp,0,0,,,,,,
624103,https://www.facebook.com/Dish.is.dietfood/posts/pfbid02LHgmUx1qGpmMjUwEi29uTqkdx4xAGv2dpReP2AHhyJHKhZuMquENG5ogb6qnLAVUl,เลือกใช้บริการที่นี้แหละ สบายใจแล้ว  #แชร์ประสบการณ์ #viral #fyp,0,0,,,,,,
992521,https://www.facebook.com/permalink.php?story_fbid=pfbid02id9RtAkg4bURJ8bG69yGjXXLo9DXBidU8fXq8Gr41FsFdH5XBbqe27MGJkGNWf8kl&id=100076397550535,ลองไป 1 ครั้ง ได้ซ้ำแน่นอนจ้าา #แชร์ประสบการณ์ #viral #fyp,5,6,,,,,,
