Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
910514,https://www.tiktok.com/@peri_pewi_on_ig/video/7583213139865521429,"Ate in-store, enjoyed my pizza, and joined the Sip the Season promo right at the table 😭🔥 Order any Coke Combo Meal → scan the QR → upload your receipt → Play the Emoji Game → done. Trying my luck with the Coke Emoji Cup… your turn next. 🥤✨ Keep playing the Coke Emoji Cup game for more chances to win free meal vouchers — and get your limited-edition Emoji Cup!​ Promo extended until Dec 30, 2025 Available in select stores only.  #cocacolaph #paskongcocacola #refreshtheholidays #cokeemojicup  DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025” #CokeEmojiCup PaskongCocaCola CocaColaPH _____________",850,0,0,0,35919,,,
259616,https://www.tiktok.com/@anndie__girl/video/7584067806115728661,"Don't miss out the chance to win a Limited Coke Emoji Cup! 🥤 Just get a Coke Combo Meal in any of their partnered food restaurants (available in selected stores only). Super cute and a must have this Christmas season! 🎅🎄 PS. Promo Extended until December 30, 2025! #CocaColaPH #RefreshTheHolidays #CokeEmojiCup #PaskongCocaCola DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025",1596,18,9,29,21921,,,
616600,https://www.tiktok.com/@biancaaaching/video/7583667129505828114,This is your sign to play the Emoji Game now! It’s your last chance to win the Limited Edition Emoji cup!🥤✨ Promo is extended until Dec. 30.  Available in select stores only. #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025,668,7,10,19,8375,,,
3390885,https://www.tiktok.com/@mharymactal/video/7583268108484365576,"May limited edition cup ang Coke ngayon na pwede natin maavail sa mga participating restaurant.    Available in select stores only!  Extended until Dec 30, 2025.   #Foryou #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup    DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025",383,6,11,15,15993,,,
458808,https://www.tiktok.com/@mommy.krystal/video/7580582130007182613,"Got this cute Limited Edition Coca-Cola Emoji Cup! The more you try different paticipating combos, the more chances you get to win amazing prizes! Join na rin kayo sa Sip the Season with Coke Emoji Cup promo bago pa magkaubusan! Goodluck! Available in select VisMin stores only. #CokeEmojiCup #PaskongCocaCola #CocaColaPH #RefreshTheHolidays DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025",747,12,22,20,14998,,,
1264598,https://www.tiktok.com/@howtofoodtrip.ph/video/7580732905098333460,"Don’t miss your chance to get a LIMITED-EDITION Coke Emoji Cup🥤this holiday season. 🎄 It’s time to sip the season with Coca-Cola and grab your own emoji IRL soda cup — the Coke Emoji Cup.  Here’s how to get a chance to win one:  1️⃣ Visit a participating food store like Domino’s Pizza 2️⃣ Order any participating food combo  3️⃣ Upload your receipt in the Sip the Season with Coke Emoji Cup website 4️⃣ Play the Coke Emoji Cup Game 🥤 This exciting promo is available until December 15, 2025 only so hurry! Available in select stores only. #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025",996,5,16,25,14589,,,
980432,https://www.tiktok.com/@ericaschmoney/video/7584264758942043410,"Sharing the step-by-step so u guys can win the limited edition Cola-Cola Emoji Cup! 🥤Extended until December 30, 2025 Treat yourselves this holiday season! 🎄 Available in select stores only. #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup DOH-FDA Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025",1128,5,39,45,14267,,,
911206,https://www.tiktok.com/@nhanalene/video/7583185916294892818,It's LIMITED TIME ONLY! Don’t missed  a chance to win your own Coke Emoji Cup 🥤✨  Avail a participating Coke combo Meal at partner stores and play the Emoji Cup Game! Promo is extended until December 30. Available  in selected  stores only. DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025 #CocaColaPH #PaskongCocaCola #RefreshTheHolidays  #CokeEmojiCup,968,39,89,52,14251,,,
3388358,https://www.tiktok.com/@lozanomicah/video/7583514877629566228,You bring the holiday magic. Let Coke bring the refreshment! Play the Emoji Game and win prizes! Available in select stores only. Promo is extended until Dec 30! 🥤 #CocaColaPH #RefreshTheHolidays #CokeEmojiCup #PaskongCocaCola DOH-FDA CFRR Permit No. 1498 s. 2025 SIP THE SEASON WITH COKE EMOJI CUP 2025,1378,2,5,37,13882,,,
1263457,https://www.tiktok.com/@eats.jp/video/7580264742057430280,"Holiday good vibes only! 🥤🎄 Order, play, and get a chance to win the super cute Coke Emoji Cup. Cheers to a happier Pasko! Available in select @Chowking PH stores only.  #CocaColaPH #PaskongCocaCola #RefreshTheHolidays #CokeEmojiCup DOH-FDA CFRR Permit No. 1498 s. 2025  SIP THE SEASON WITH COKE EMOJI CUP 2025 @Coca-Cola ",756,7,7,22,12097,,,
