AnyTag Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
954765,https://www.tiktok.com/@novellalasdreiann/video/7557957309910191367,"✨ 1 barang kecil, 1000 manfaat! ✨
Apalagi kalau bukan Vaseline Petroleum Jelly 🤍

Aku punya 3 hack favorit nih:
1️⃣ Brow setting biar alis stay on fleek
2️⃣ Moisturizer siku & lutut biar nggak kering
3️⃣ Lip care sekaligus base lipstick biar lebih tahan lama 💄
@Vaseline Indonesia
Super multifungsi kan? 😍
Kalau versi hack Vaseline kalian apa nih? 😉

#VaselineHacks #BeautyTips #Multifungsi
#HackYourVaseline",5,0,1,1,571,,500,
301660,https://www.tiktok.com/@michwlless/video/7555428094975233287,"Kamu pikir Vaseline cuma buat bibir kering? Coba dulu 3 hack andalan aku ini, mulai dari bikin tumit & siku selembut bayi 👶🏻, tangan tetap halus meskipun kerja seharian 🙌, sampai parfum yang wanginya nempel seharian 🌸💙

Sekarang giliran kamu! Yuk join #HackYourVaseline dan tunjukin cara paling unik versi kamu pake Vaseline Petroleum Jelly 😎🔥
Klik filter#HackYourVaseline di video ini, upload kreasi kamu, dan siapa tahu bakal di-feature sama @vaselineid 💙#VaselineVerifiedID#VaselineVerified#VaselinePetroleumJelly",7,0,1,0,647,,523,
978353,https://www.tiktok.com/@surikaizar/video/7555436563543444744,"multifungsi! ini dia 3 hacks yang perlu kamu tau pake vaseline petroleum jelly! @Vaseline Indonesia

#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselinePetroleumJelly",130,24,0,28,193,,98,
786218,https://www.tiktok.com/@heiina1_/video/7554350153726004498?_t=ZS-90G9QnyQgJ3&_r=1,hayo gimana cara kalian ngabisin si vaseline iniiii?!! @Vaseline Indonesia #HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID,270,83,19,6,6361,,5500,
593082,https://www.tiktok.com/@phylia.18/video/7557450572987747595,#HackYourVaseline satu produk kecil kaya gini manfaatnya banyak banget ✨ #HackYourVaseline#VaselineVerified#VaselineVerifiedID#VaselinePetroleumJelly,1,0,1,0,190,,135,
193580,https://www.tiktok.com/@febyasr_/video/7555764216620240129,"3 Hacks yang ternyata berguna banget untuk kegiatan sehari-hari bikin jadi lebih mudah ✨ @Vaseline Indonesia

kalau kamu udah coba hacks yang mana nih ?? #HackYourVaseline#VaselineVerifiedID#VaselineVerified#vaselinepetroleumjelly",316,0,1,0,4647,,3900,
242747,https://www.tiktok.com/@ternaklelekack/video/7560666582943272203,#HackYourVaseline #HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselinePetroleumJelly,0,0,1,0,129,,110,
776344,https://www.tiktok.com/@dicaaan_/video/7561719200801164556,"✨ 3 Hack Sebelum Makeup biar hasilnya flawless & tahan lama! ✨

@Vaseline Indonesia #HackYourVaseline #VaselineVerifiedID
#VaselineVerified #VaselineID",217,105,2,9,2325,,1700,
785985,https://www.tiktok.com/@upicegil/video/7555761589580827912,"3 hack unik pake Vaseline Petroleum Jelly, versi aku 🥰
Sekarang giliran kamu! Ikutan #HackYourVaseline, bikin hack versi kamu, dan tag @Vaseline Indonesia ✨
#HackYourVaseline#VaselineVerifiedID#VaselineVerified#HackYourVaseline",5,2,0,0,250,,170,
541909,https://www.tiktok.com/@patrinevianca/video/7554389668221996296 ,"ini dia beauty hacks ala aku bareng Vaseline Petroleum Jelly, coba dong komen hacks ala kamu juga bareng Vaseline🤩 @Vaseline Indonesia

#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselinePetroleumJelly",4,0,10,2,74,,65,
584148,https://www.tiktok.com/@clauliem/video/7558701307473726732,"#HackYourVaseline Yukkk ikutan bikin hacks ala kalian😍😍


#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselinePetroleumJelly",37,0,1,212,198,,153,
