AnyTag Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
903732,https://www.tiktok.com/@sassypeachy__/video/7559589504454118672,My ultimate everyday essential! 💙@Vaseline Indonesia #HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID,81,4,11,3,2178,,1800,
3363924,https://www.tiktok.com/@sintaaretno/video/7557167874482113803,"3 alasan kenapa Vaseline Repairing Jelly wajib aku bawa kemana-mana, kecil tapi banyak banget manfaatnya🥰
@Vaseline Indonesia
#HackYourVaseline #VaselineVerifiedID
#VaselineVerified
#VaselineID",5,0,8,1,406,,350,
1330379,https://www.tiktok.com/@selymaretidaniar/video/7556232087477439752,"#HackYourVaseline Multifungsi bgt deh Vaseline ini, bisa dipake untuk apa aja. Ini hack versi aku, kalo hack versi kamu gimana? ✨👋🏻 @Vaseline Indonesia
#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",115,0,1,0,205,,175,
1345688,https://www.tiktok.com/@dumpsssyyyy/video/7562133692450196754,"yuk share hacks your vaseline kamu💗
#HackYourVaseline @Vaseline Indonesia #HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",21,3,0,0,300,,290,
1348015,https://www.tiktok.com/@nabilacantikap/video/7558757639572704568,"Pernah kepikiran Vaseline bisa dipakai buat jadi blush on darurat? Bahkan nyelametin cincin nyangkut?! 😱💍

Ini life hack Vaseline yang WAJIB kamu cobain sendiri! ✨ Praktis, serbaguna, dan selalu ready kapan aja~

📢 Join challenge Branded Mission #HackYourVaseline dari Vaseline sekarang! Komen di bawah versi hack unik kamu pakai Vaseline Petroleum Jelly, ya!👇@Vaseline Indonesiaa
#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",15,0,2,0,249,,225,
774618,https://www.tiktok.com/@pagns/video/7562220316773207316,been loving how versatile Vaseline Petroleum Jelly is 💙 yuk ikut challenge branded mission #HackYourVaseline sekarang! #VaselineVerifiedID#VaselineVerified#VaselineID,8,0,2,3,146,,120,
1138485,https://www.tiktok.com/@renatayosibella/video/7561667520952814859,"tambah-tambah hacks lagi kalau aja kamu cuman punya satu produk ini di rumah!
@Vaseline Indonesia
#HackYourVaseline#VaselineVerified=d#VaselineVerifiedID#VaselineID",4,0,1,0,161,,143,
1310259,https://www.tiktok.com/@vlonedawn/video/7559966731565862162,"Yuk ikutan juga challenge Branded Mission dari Vaseline sekarang💙!
@Vaseline Indonesia
#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",11,0,1,0,239,,187,
310325,https://www.tiktok.com/@lagidietttt/video/7561393365007289612,#HackYourVaseline kasih tau hack andalan kamu sekarang!!!🫶🏻 @Vaseline Indonesia #HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID,21,5,1,0,545,,453,
1315358,https://www.tiktok.com/@puuaantr/video/7561437494328184120,kata siapa VASELINE PETROLEUM JELLY cuma buat bibir kering? nih aku tunjukkin #HackYourVaseline#VaselineVerifiedID#VaselineID#VaselineVerified,12,2,1,2,240,,221,
932234,https://www.tiktok.com/@nyawandmunchies/video/7561462223122484491,"Yuk share juga #HackYourVaseline versi kalian ya!🤗

@Vaseline Indonesia

#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",9,0,23,3,59,,45,
894957,https://www.tiktok.com/@sheilololo/video/7556173021912780044,"Harus selalu dibawa kemanapun sih!

@Vaseline Indonesia #HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",27,1,4,0,284,,220,
475217,https://www.tiktok.com/@monikavinsensa/video/7558446140996226315,"Ini dia 3 Hacks pake Vaseline Petroleum Jelly versi aku, kalo versi kamu gimana?

#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",6,0,0,0,251,,176,
1054357,https://www.tiktok.com/@deaazr____/video/7555506313426423047,"🚨3 HACKS AMPUH DARI VASELINE!😍

Cincin nyangkut? Tangan kering? Parfum tidak tahan lama?🤔
Solusinya ada di Vaseline!💄👍

Coba deh dan rasakan perbedaannya!😊
Share hacks versi kamu di komentar ya!👇

#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID#HackYourVaseline",10,0,1,1,196,,170,
920409,https://www.tiktok.com/@maegiyaa/video/7561992708848487687,"Siapa bilang Vaseline Petroleum Jelly cuma bisa dipakai buat 1 hal aja? 🤔
 Ternyata banyak banget hacks simpel yang bisa nyelametin kulit kering kita sehari-hari loh! 💚
Aku udah cobain: 1️⃣ Pulihin tangan kering setelah panas-panasan 🌞 2️⃣ Jadi lip balm buat bibir pecah-pecah 💋 3️⃣ Halusin kulit pecah-pecah dipinggir bibir ✨

Sekarang giliran kamu! 😍 Ikutan challenge #HackYourVaseline bareng@Vaseline Indonesiaa dan share cara unikmu pake Vaseline Petroleum Jelly. Siapa tau hack kamu jadi inspirasi buat yang lain 💕
#HackYourVaseline#VaselineVerifiedID#VaselineVerified#VaselineID",8,1,1,2,194,,168,
