Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
232306,https://www.facebook.com/tink.tonk.9/posts/pfbid0hmjLwPZ7vfProCFMrHHiJUaMYWxLqhh7ZQrc8NgG8UfHHz8r7neVQWRQyFkvoLZgl,เจอช่างดีๆ จะไปไหนได้ยังไงงงง 🤭 #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,5,0,0,,,,,
237595,https://www.facebook.com/tip.apisara/posts/pfbid02xSFxBnArUdkAzuUvTjkut4v3weaNYHuKZDjehfZ8q6wBuvM9nKaMiS6H5PQ7JcLNl,อันนี้หนังหรือชีวิตจริงเนี่ย 555 #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,1,0,0,,,,,
299491,https://www.facebook.com/100001341587187/posts/24658163417145036/?mibextid=wwXIfr&rdid=Hf2DnGTE9Wb0Q34X#,"https://youtu.be/1mELOH_L0_4?si=akXrM1hZj4KO9fPO  
โหหหห คุณน้าา ทำหนังมาตรงแบบนี้ เพื่อนสนิทเราจะโดนแย้งไหมนี่ 55555555555555 #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู",1,0,0,,,,,
315293,https://www.facebook.com/100064117147666/posts/1215380867275807/?mibextid=wwXIfr&rdid=lKyzSxeSW8InoKdV#,ช่างแบบนี้คือดีย์ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,0,0,0,,,,,
331662,https://www.facebook.com/100000084730226/posts/25212994798286664/?mibextid=wwXIfr&rdid=WSxXhlneoxpdmOzo#,หนังน่ารักเกินโฆษณาหรือนี่ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,0,0,0,,,,,
559321,https://www.facebook.com/100002085039738/posts/24728923470093812/?mibextid=wwXIfr&rdid=Db8C0l4n1P7xoJ4X#,"555 ฉากติดหนึบคือ mood จริงๆ
#คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู",0,0,0,,,,,
565148,https://www.facebook.com/100001629602941/posts/25128110513493256/?mibextid=wwXIfr&rdid=zpD4cS2m5rEZAFbg#,Trusted Partner = Cockpit only #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,1,0,0,,,,,
585848,https://www.facebook.com/100001667347402/posts/25393971873575042/?mibextid=wwXIfr&rdid=EyM1TxoqU0XBivW0#,ขำจนลืมไปว่านี่คือหนังจากแบรนด์  #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,1,0,0,,,,,
657570,https://www.facebook.com/100075880692290/posts/821984163674266/?mibextid=wwXIfr&rdid=XiKOLL0SKkxoVnIm#,แต่ละตัวที่ทำหนังออกมา ชอบมากกกกกก #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,1,0,0,,,,,
660469,https://www.facebook.com/100006439065798/posts/5189569357934315/?mibextid=wwXIfr&rdid=73M55F7qqKGxoK2E#,ไม่คิดว่าจะอินกับหนังขนาดนี้ ไปดูกันค่ดดีย์ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,8,5,0,,,,,
661001,https://www.facebook.com/100007525743340/posts/4206115216315962/?mibextid=wwXIfr&rdid=MMnaIIlsUhjVu4p3#,Cockpit คือ safe zone ของรถ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,0,0,0,,,,,
697794,https://www.facebook.com/100023055720386/posts/2073024243476080/?mibextid=wwXIfr&rdid=iXlivkASMhHfuIJE#,"โคตรชอบเลย ยิ่งดูยิ่งอุ่นใจ 
#คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู",1,0,0,,,,,
712755,https://www.facebook.com/100003527073718/posts/24397460326621531/?mibextid=wwXIfr&rdid=lCFGgsdBkwgvRT36#,Real friendship #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,2,0,0,,,,,
756974,https://www.facebook.com/story.php?story_fbid=4094418084103005&id=100006045603506&_rdr,เจอแบบนี้ครั้งเดียวก็ซื้อใจแล้วจ้าาา #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,0,0,0,,,,,
788228,https://www.facebook.com/leennai/posts/pfbid02kw6PCSrZE8qACdS3vC7LPAqvPcsttRobJmxmfKXo5Jzed3qqtPcs4bjg5KVVoEfMl,หนังน่ารักจนอยากแชร์ต่อเลย #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,0,0,0,,,,,
934042,https://www.facebook.com/100002172022159/posts/pfbid02Hzw7r3mCXUpAzgBpowzbhQKgS8jgaQvAAe3Cbugrw47DZQHQSciAf42mK3ATeh9Hl/?app=fbl,มันใช่เลยอะ trusted car partner #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,0,0,0,,,,,
978217,https://www.facebook.com/100004263485115/posts/3257534274398657/?mibextid=wwXIfr&rdid=4SGJGgUJa0qujpDA#,ศูนย์นี้คือ comfort zone ชัดๆ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู ,1,0,0,,,,,
983118,https://www.facebook.com/100002206381774/posts/24751619561161581/?mibextid=wwXIfr&rdid=dWWIRb1ErZ7KuV0l#,ว่าแล้วก็ต้องแวะไปหาสะหน่อยยยย #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,2,0,0,,,,,
1060541,https://www.facebook.com/100001045762025/posts/25359376130347230/?mibextid=wwXIfr&rdid=1nkXJ8KQrXpkTbzp#,ดูแล้วนึกถึงชีวิตจริงเลยอะ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,1,0,0,,,,,
1246187,https://www.facebook.com/100022994721396/posts/1998986204211184/?mibextid=wwXIfr&rdid=CawbQeHaOUKXHRSu#,"นาทีนี้ใครไม่นึกถึง Cockpit บ้างถามจริง!!!
#คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู",0,0,0,,,,,
1315227,https://www.facebook.com/100001961891750/posts/31602095749439077/?mibextid=wwXIfr&rdid=WwNjQVy6hsnt4bre#,ทำไมรู้สึกอยากไปเลยเนี่ย #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,1,0,0,,,,,
1315242,https://www.facebook.com/wwii.smile/posts/pfbid0LoZsTiTyScL6kPi2mMvKWCJAMFhFPRntjXMJ9kj9z4Mwxk7u3GAW13vaBtJLErpql,"ไม่เคยคิดว่าศูนย์บริการจะน่ารักขนาดนี้ 
#คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู",6,0,0,,,,,
1328079,https://www.facebook.com/100002828456076/posts/24102520839425528/?mibextid=wwXIfr&rdid=0FWL2Cc48M8F27XT#,มีความจริงใจในทุก service #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู ,0,0,0,,,,,
1350499,https://www.facebook.com/jarurat.swll/posts/pfbid0gWfmqodtr9Vzka2qG5xKhn5hBhP1GNP7VYtiVxc3YeuZf3r2XSB3kcSZkHEe7Luyl,trusted partner ของจริงเลย #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,6,0,0,,,,,
1351949,https://www.facebook.com/phonphimon.phiosuwan/posts/pfbid02YWdkqSsLmrub6r9SdHc8i8F7t2urarTQdxWaUFMdWN59dV3JyU3ENofgBYoQsuyRl,คลิปบน facebook ทำให้ยิ้มไม่หยุด 🤭ไปดูกันเถอะะะ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,3,0,0,,,,,
1983688,https://www.facebook.com/pornpirat.j/posts/pfbid0JzBP499TZo3AyBBYZWPLQByXWSVeaskEimnVEGxm8Rb2U8ismmpZZdfe1spjNivhl,"Cockpit = service + care 
#คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู",2,0,0,,,,,
274021,https://www.facebook.com/100016683451901/posts/1971376050095158/?mibextid=wwXIfr&rdid=DiqvzTwY0HETvDVD#,ดูแล้วอยากไปใช้บริการทันที #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,2,0,0,,,,,
707933,https://www.facebook.com/karakad.atan/posts/pfbid02N1MLAmChQ45teJapdCasZZdmv7xo9riJTiswzPfEaddi1jgTcDHCUFavGUBPU4wfl,ช่างที่นี่คือ real MVP เลย #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,2,0,0,,,,,
90071,https://www.facebook.com/arm.suwit.laolong/posts/pfbid02oR2sAoEcfCt6R4GQwQKADpfyaJWKL6CDdvDkvsPfsgTUvP9d6ahLkFcKzND6qce9l,"mood ดีสุดๆ ตอนดูหนังเรื่องนี้ 
 #เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #โฆษณาไทยตลก",6,0,0,,,,,
914717,https://www.facebook.com/samr.joy/posts/pfbid0vM34k3KBRJXVdWr4tHxHcx5TGfdhdNmpZn4UwdaBkDhtKahtZqgn9dbXFibDU9Nhl,Cockpit ไม่ได้ทำหนัง แต่ทำความจริง #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,0,0,0,,,,,
1466335,https://www.facebook.com/tawisa.saelee/posts/pfbid0A2ff43sZK12VX3F88wN1mPkruvectKRd3T5XybapfFn6F7wuFsAqDdaMQwKAb1YUl,ใครเจอจะรู้ว่ามันเหมือนจริงๆ #คนไทยเป็นคนตลก #โฆษณาไทยตลก #เรื่องนี้ต้องดู,1,0,0,,,,,
