Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
195799,https://www.facebook.com/ymieyamz/posts/pfbid02YMhxj7ZNDcA1boRSRhC26nUAgWpvpvXXrit8dtcvJ9aAhRLn5udonAzsEnGnwAerl,"ต้องจัดบ้างละ คือน่าลองมากกก 
#กลูต้า #ผิวฟูเด้ง #ของดี",1,,,,,,,
195999,https://www.facebook.com/vegis.mekbenchapivat/posts/pfbid0ys5QNNte8oWKGZmafu2LE8SAr91J6dgRNgAB49goXzzeYbo6bE29pNeb1nT96bWEl,ผิวจึ้งๆมันเป็นแบบนี้นี่เองชอบมาก ผิวใสเด้งไปอีก  #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,1,,,,,,,
232776,https://www.facebook.com/saintstst/posts/pfbid0cE2C8GHc8Cu3iyFJ2mtGQjjqCihuMVv7zuzKaDCJ92J72TyMgt3FnRQerVqDWyXyl,🐰💖 #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,10,,,,,,,
237595,https://www.facebook.com/tip.apisara/posts/pfbid02hjNXjQDVE1Zv2mEW7jRsxq9oYaqQzrgjU92MYs3wysVdfqFNRHDEt4vKZ1mZTGjMl ,ดูปุ้บ ต้องนัดเลย  #แชร์ประสบการณ์ #viral #fyp,2,,,,,,,
262014,https://www.facebook.com/mind.sehunexo/posts/pfbid02Ae5TTYSpQJeTaNwJ2NRdGwyGGwcshkfpR2mjsAYkZHUndfQXWGynjdBeDWDR3dLXl,คือน่าลองมากจริงช่วงนี้ผิวแห้งจัดแต่เห็นว่าตัวนี้เข้ามาเติมความชุ่มชื้นให้ผิวเด้งอิ่มน้ำจนต้องกดเลยหล่ะ  #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,,,,,,,,
299491,https://www.facebook.com/maiy.nana/posts/pfbid02i7xSnMphaZDgqDqKr2Tg7oRjWgqbCDtL2PityUeAE22bgFQR52cbnC359evJgdmml,ต้องลองทานตามบ้างแล้วค่ะ อยากหาตัวช่วยดูแลผิวอยู่พอดีเลย 😍 #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,1,,,,,,,
315293,https://www.facebook.com/baitoeybtbt/posts/pfbid0i2BEo5EcvRKsPxFrBdSWvbE63y2uPhCBbDebDsea9hsk53K9S3ubrpfMht8S56C7l,ผิวดีมีชัยไปกว่าครึ่ง #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,,,,,,,,
488754,https://www.facebook.com/Bunnynnun/posts/pfbid0kqznnfNfi8AvPCHAp4y8ZVuDSVxBEcyNYrpNPqmxDCfruz7Xs8DQtmnLfN1oZLsFl,ราคาดีแบบเอื้อมถึง จึ้งเว่อร์  #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,,,,,,,,
494207,https://www.facebook.com/atitaya.prathum/posts/pfbid0dSMdZu6NYtMB9msR5YpVAAfAM1UQGFrx1uW8ixJ1xdpm5bQxUfoQtrrjse75jJpZl,ตัวช่วยดีๆที่ลดรอยดำ รอยสิว ผิวเด้งฟู รีบอวดผิวสวยก่อนหมดปีต้องห้ามพลาดตัวนี้เลยค่าาาา #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,1,,,,,,,
511299,https://www.facebook.com/parwinee.vaiyavatjamai.2025/posts/pfbid0N3Tqtpp8qGMayn4Z71GKTun79L3hKuKDfTCU2TCpKeXgQQgCr6NRnFvzxL3P1d5Cl,#กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,1,,,,,,,
520048,https://www.facebook.com/permalink.php?story_fbid=pfbid0MGEziDZRhUZGvs3vAGSSaUvecWDwugqxo118rFwdbEe3C8UtxomxatFGDdjLX6UZl&id=100060832849240,ของเค้าดีจริงๆทุกคน #กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,,,,,,,,
527811,https://www.facebook.com/saowaluk.dapat/posts/pfbid0ADWE4DyHbMeYekmRZjEq5x9GK2NhaY3wu46KwYKFttr6Dkp38srTCvCrHKeow9Jal,"ตื่นมาคือผิวนุ่มเด้งมาก ไม่แห้ง ไม่เป็นขุย แต่งหน้าติดขึ้นด้วย เหมือนผิวได้พักเต็มที่มาก ๆ
#กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ",5,1,,,,,,
539169,https://www.facebook.com/isfaif/posts/pfbid02kUUwmz574pX2UtK2aarFnBjsgZ4tiDd7VSMMiacRQEJJYmwoERWwCakeskiUz96Nl,#กลูต้า #ผิวฟูเด้ง #ของดีบอกต่อ,2,,,,,,,
