Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
232306,https://www.facebook.com/share/p/1AJ4ZLSzmM/ ,เห็นกิจกรรมดีๆต้องแชร์ ! ทาสแมวอย่างฟ้าไม่พลาดดดดด #เติบโตอย่างHillsเลยนะ #Hillspetnutrition #Hillssciencedoesmore,1,,,,,,,
594814,https://www.facebook.com/share/p/1DfzkKP9TV/,#เติบโตอย่างHillsเลยนะ  สุขภาพดี แข็งแรง ด้วยสารอาหารดูแลครบสูตร อยู่ด้วยกันนานๆไปโลยยยย บ๊อกๆ 🐶 #Hillspetnutrition #Hillssciencedoesmore,1,,,,,,,
539169,https://www.facebook.com/isfaif/posts/pfbid0jQYoaUV8mQqgfifTg6jFGZj2DFQ1yHccmvPNNuzSFQBeBj5rmf4Z3a94D7aPMSt3l ,มีใครให้เด็กๆที่บ้านกิน Hills เหมือนกันมั้ย ไปร่วมกิจกรรมกันได้น้า  #เติบโตอย่างHillsเลยนะ #Hillspetnutrition #Hillssciencedoesmore,2,,,,,,,
35205,https://www.facebook.com/share/p/1AHzX4uq1P/ ,"น้องแมวแฮปปี้ เราก็แฮปปี้ตามค่ะ 💙 
 #เติบโตอย่างHillsเลยนะ  #Hillspetnutrition #Hillssciencedoesmore",1,,1,,,,,
734334,https://www.facebook.com/share/p/1Apnvasjd6//,"อาหารที่เลือกให้น้องหมากินก็ต้องHill'sนี่เเหละครับ🐶😊
#เติบโตอย่างHillsเลยนะ #Hillspetnutrition #Hillssciencedoesmore",1,,,,,,,
237894,https://www.facebook.com/nusor.bonus/posts/pfbid02tviPZwXVAq3GDRVNSXNic8C8h6kgzhKeAvq2sqE2cP4r1FFZxLhymSBMpbaYpXVXl,"เพื่อนๆทาสแมวรีบมาเล่นกิจกรรมนี้เลย🐈💘
#เติบโตอย่างHillsเลยนะ #Hillspetnutrition #Hillssciencedoesmore",2,,1,,,,,
10437,https://www.facebook.com/pudding.cracker/posts/pfbid02rDnAUhyM6xpjh2zN5HxHFnhNJFL6sY4VV4ECVkPgaicK5HRzeS1ngfQdeR1p5hXel,แชร์กิจกรรมน่ารักๆ สำหรับเหล่าทาสน้อนแมวน้อนหมาห้ามพลาด‼️ มาร่วมสนุกกันนะคะ🥰 #เติบโตอย่างHillsเลยนะ #Hillspetnutrition #Hillssciencedoesmore,1,,,,,,,
650445,https://www.facebook.com/rraryn.n/posts/pfbid021PdiCvRwhRVHcYfH4ErCquz4RQGCXF6rJpJmLUw1bVm4nAKJX6Zipe4n49cge475l,เจ้าเหมียวที่บ้านลองทาน Hill's Science Diet มาสักพักแล้ว อยากให้น้องลองอะไรที่ย่อยง่ายขึ้น น้องทานเก่ง ไม่งอแง เลยรู้สึกว่าตัวนี้โอเคกับน้องแมวเลย แล้วขนก็นุ่มฟูด้วย รวมถึงเรื่องถ่ายและก้อนขนก็ดีขึ้นไปตามๆกัน เลยค่ะ #เติบโตอย่างHillsเลยนะ #Hillspetnutrition #Hillssciencedoesmore,1,,,,,,,
494207,https://www.facebook.com/atitaya.prathum/posts/pfbid02Dcqv93gNXcJa1vcmtZuUut2vypvHryN63sckzf4kJU8eyDJC9ecHRC9bUkKHwxaLl,กิจกรรมดี ๆ แบบนี้ ไม่อวดความน่ารักสุขภาพดีของเจ้าเหมียวไม่ได้แล้วค่ะ 🐱✨ เพราะว่า #เติบโตอย่างHillsเลยนะ #Hillspetnutrition #Hillssciencedoesmore,1,1,,,,,,
667817,https://www.facebook.com/maxkitroye/posts/pfbid0VKf6CX4vZZExnqXDszAQkoe7s5GVjpgZ6gB61LJ4e2Dg9SFzmMp55KvE348SFW47l,"😻เอาลูกๆที่บ้านมาอวดความน่ารัก เล่นกิจกรรมกับ Hills กัน #เติบโตอย่างHillsเลยนะ
#Hillspetnutrition
#Hillssciencedoesmore",1,,,,,,,
