ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
626140,https://vt.tiktok.com/ZSyCbC3A1/,"Guncang promo 11.11, Bundle Trial Pack Frisian Flag Nutribrain Omega @Frisian Flag ✨ #FrisianFlag #NutribrainOmega #FrisianFlagNutribrainOmega #SobatCermat #PromoGuncang1111",58,7,7,5,34700,,,
1130587,https://vt.tiktok.com/ZSyb3rCVH/,"‼️ Promo Guncang 11.11✨
Yuk join live dan checkout Frisian Flag Nutribrain Omega di keranjang kuning, susu UHT sekardus hanya 76.000 ajaaa😍
@Frisian Flag
#FrisianFlag #NutribrainOmega #FrisianFlagNutribrainOmega #SobatCermat #PromoGuncang1111",82,19,8,8,47400,,,
1354332,https://vt.tiktok.com/ZSybEBDPb/,Gucang promo 11.11 Frisian Flag nutribrain omega @Frisian Flag 🤍✨ #firisanflag #nutribrainomega #frisianflagnutribrainomega #sobatcermat #promoguncang1111,218,9,12,17,132700,,,
203878,https://vt.tiktok.com/ZSyV13Mrt/,"kata orang promo live itu banyak bohongnya? sini aku kasih tau tipsnya! Frisian Flag Nutribrain Omega lagi ada promo guncang 11.11
@frisianflagid

#FrisianFlag #NutribrainOmega #FrisianFlagNutribrainOmega #SobatCermat #PromoGuncang1111",631,7,99,38,336500,,,
684638,https://vt.tiktok.com/ZSyCXKgAd/,"Langsung gass ambil Promo Guncang 11.11 Frisian Flag Nutribrain Omega aja, Bund! Kapan lagi bisa dapat diskon sampai 40% plus hadiah juga! Checkout produknya di keranjang kuning, ya Bund! @frisianflagid
#FrisianFlag #NutribrainOmega #FrisianFlagNutribrainOmega #SobatCermat #PromoGuncang1111",50,5,7,3,35400,,,
570584,https://vt.tiktok.com/ZSyX1TUaf/,"Halloo momss
Jangan sampe kelewatan Promo Guncang 11.11 Frisian Flag Nutribrain Omega @Frisian Flag mengandung Omega 3 & 6 , 9 Vitamin dan 4 Mineral yang membantu perkembangan otak sikecil
#frisianflag #NutribrainOmega
#FrisianFlagNutribrainOmega
#SobatCermat #PromoGuncang1111",174,23,10,7,66300,,,
989638,https://vt.tiktok.com/ZSybE8o5W/,"Nonton live TikTok ternyata bermanfaat juga loh😆 Bisa Dapet promo Frisian Flag Nutribrain Omega sampai 40%, plus hadiah spesial cukup beli 1 karton aja!
Nah Aku pilih Frisian Flag karena lengkap banget, ada Omega 3 & 6, 9 vitamin, dan 4 mineral yang bantu dukung akal cermat si kecil💙
Buruan moms langsung co dan serbu promo guncang 11.11🛒
@Frisian Flag

#FrisianFlag #NutribrainOmega #FrisianFlagNutribrainOmega #SobatCermat #PromoGuncang1111",219,67,5,15,34300,,,
1056977,https://vt.tiktok.com/ZSyVR5Cjr/,"Stimulasi aja nggak cukup, Bun!
Aku lagi pake Frisian Flag Nutribrain Omega biar support perkembangan otak Kalief juga ✨

Lagi ada Promo Guncang 11.11 👀
Klik keranjang kuning biar nggak kehabisan yaa 🛒

@Frisian Flag

#FrisianFlag #NutribrainOmega #FrisianFlagNutribrainOmega #SobatCermat #PromoGuncang1111",39,2,7,4,35600,,,
3381617,https://vt.tiktok.com/ZSybEjMkw/,"Waktunya guncang 11.11 bareng Frisian Flag Nutribrain Omega! 🧠💪 @Frisian Flag
Nutrisi lengkap dengan Omega 3 & 6 bantu dukung si kecil tetap fokus dan semangat belajar setiap hari.
Jangan sampai kelewatan promo #Guncang1111 yang super hemat! 🛒💥

#frisianflag #nutribrainomega #frisianflagnutribrainomega #sobatcermat",102,0,2,8,34500,,,
565178,https://vt.tiktok.com/ZSyV1YjdM/,"Liat promo Frisian Flag Nutribrain Omega di Promo Guncang 11.11, auto borong sih Bund
Diskonnya gede, anak makin fokus belajar, bundanya makin hemat
@frisianflagid #FrisianFlag #NutribrainOmega #FrisianFlagNutribrainOmega #SobatCermat #PromoGuncang1111",70,24,4,20,257,,,
