ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
894970,https://www.instagram.com/reel/DWX3TL8ghag/?igsh=MXd5OWh6ZnYwNGYzdg==,"berbagi selama Lebaran terasa beda karena ada @indomie 

#AmbilNikmatnya #IndomieRamadan #IndomieNikmat",1,0,0,0,135,,,
50805,https://www.instagram.com/reel/DWNv-Cek1Zj/?igsh=MXI2c2p3djZiMnB1cg==,"pasti pernah kan… mau ke rumah saudara tapi bingung mau pakai baju yang mana 😭

padahal ada, tapi gak ada yang kerasa pas
akhirnya coba cari referensi biar gak lama mikir ✨

emang bener ya, You Only Need One kebaikan di bulan Ramadan bersama Indosat! karena #LebihBaikIndosat✨ @indosat

jangan lupa download aplikasi Sahabat-AI sekarang untuk membantu mempermudah hari hari kamu!🤍✨

#LebihBaikIndosat #Indosat #SahabatAI",13,6,0,0,976,,,
776625,https://www.instagram.com/reel/DWOFwDJD2X-/?igsh=azBmb2locDA1czF4,"Lebaran kali ini aku coba jadi versi lebih baik ✨
Mulai dari hal kecil, ternyata AI bisa bantu banget cari inspirasi

You Only Need One langkah untuk mulai 💛
Yuk bareng-bareng #LebihBaikIndosat

Download Sahabat AI sekarang! 📲

#LebihBaikIndosat #SahabatAI #YONO #Lebaran2026 #KontenLebaran #AIIndonesia
 #Indosat",58,39,140,2,731,,,
778122,https://www.instagram.com/reel/DWHaACITw4p/?igsh=MTZnYjZhejdlenR6ZA==,"sekarang udah ga bingung lagi mau tampil kaya apa dan pake makeup apa pas lebarann, karena udah cari tipsnya di Sahabat-AI yang udah jelasin detail banget soal makeup dan tips biar makeup aku flawless pas ramadhan  #LebihBaikIndosat #Indosat #SahabatAI",16,2,0,2,1282,,,
3478369,https://www.instagram.com/reel/DWLELmICfNo/?igsh=MTM0N3RmcGVqdWlhbA==,"GRWM sambil refleksi Ramadan.
Ngecek achievement, evaluasi diri… sampai kepikiran parcel buat keluarga.

Kadang jadi lebih baik itu mulai dari hal kecil. Bahkan dari sekadar cari inspirasi.

Untung sekarang ada Sahabat AI karena YONO (You Only Need One) untuk menjadi lebih baik setiap harinya

#LebihBaikIndosat #Indosat #SahabatAI",54,0,3,8,2338,,,
28377,https://www.instagram.com/reel/DWGizupk5sb/?igsh=MWwwb3cwNnR4bTl6YQ==,"ga cuma bingung pilih warna outfit, bantu pilih antara A dan B dan disesuaikan sama personal color kita juga bisa! mau tanya tentang outfit, kuliner, aktivitas seru juga pastinya bisa dong😍🫶🏻 emang bener ya, You Only Need One kebaikan di bulan Ramadan bersama Indosat! karena #LebihBaikIndosat✨ 

jangan lupa download aplikasi Sahabat-AI sekarang untuk membantu mempermudah hari hari kamu!🤍✨

#LebihBaikIndosat #Indosat #SahabatAI",41,0,0,0,1638,,,
50544,https://www.instagram.com/reel/DWHBxLiE_0R/?igsh=cDZyb21keXdxemtl,"Ramadan ini lagi berusaha jadi versi lebih baik 🥰 karena semuaa kebutuhan akuu bisa terbantu dengan pakai Sahabat AI. 
You Only Need One Kebaikan di Ramadan bareng indosat, karena udah pasti yang #LebihBaikIndosat 
You download aplikasi Sahabat AI dan cobain sendiri✨🤍

 #LebihBaikIndosat #Indosat #SahabatAI",19,0,0,0,807,,,
593082,https://www.instagram.com/reel/DWHEAd5E0hR/?igsh=MW1jOHRmbzk4b2NkZg==,"✨ Lebaran tahun ini misi aku:
❌ nggak awkward
❌ nggak grogi
✅ jadi versi lebih baik dari diri sendiri
Ternyata tinggal tanya Sahabat-AI aja 😭
langsung dapet tips survive ketemu mertua pas Lebaran.
Kadang kita cuma butuh satu solusi buat mulai berubah.
YONO — You Only Need One 💛
Bareng Indosat, upgrade diri jadi lebih gampang ✨
#LebihBaikIndosat #Ramadan #LebaranReady #SahabatAI",31,1,0,0,882,,,
208952,https://www.instagram.com/reel/DWH4Ff1SLuh/?igsh=MXRtNGJyZDNscWhzOA==,"Lagi bingung banget mau menu takjil apa, jadi akhirnya nemu ide unik dari Sahabat-AI 😍
Kalo kalian bingung dan sering kehabisan ide, cobain deh pake Sahabat-AI beneran ngebantu banget ‼️


#LebihBaikIndosat #Indosat #SahabatAI",26,12,0,2,470,,,
313361,https://www.instagram.com/reel/DWLWTxfkZV1/?igsh=MTNlMXZlNDZ0c2JueA==,Gara2 SAHABAT-AI jadi bisa nemuin pulau hidden gem buat libur lebaran di jakartaaa  #LebihBaikIndosat #Indosat #SahabatAI,561,7,3,0,2591,,,
