Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
27737,https://www.facebook.com/Kaben69Channel/posts/pfbid02MUuj5jrDo56rvdHQsa3NV7QKGFtXSZ9EKMPR6kN8moWVTiNh5B7HHkvpNNKVLsAEl,เรื่องฟองต้องยกให้ยี่ห้อนี้จริงๆ #ProFresh #โปรเฟรช #นมสดแท้,0,1,0,,,,,
43797,https://www.facebook.com/nornatcknm/posts/pfbid0wp91ECqAC563Xm7mNdJoBH2FsJxJV5RgPVwx7di5rfN5NvPUCZK7upS8rCiPQDY5l,#ProFresh #โปรเฟรช #นมสดแท้,0,0,0,,,,,
193074,https://www.facebook.com/akkarapol.imkasem/posts/pfbid0xf4kAEbHwV7S2boHXTTM42oeTh2UXs4ksGXRpPscAyzFz4LSJGtWpkVH7EGkY1Adl,"นมสดอันนี้อร่อยมาก ฟองนมก็ขึ้นง่าย
#ProFresh #โปรเฟรช #นมสดแท้",0,0,0,,,,,
195799,https://www.facebook.com/ymieyamz/posts/pfbid0L8wCfVWQDEGX3Lx1G45GokkR3Zn5Hvq7rPjVrETat92DgfW5XnM4MoxusBqtmPbRl,#ProFresh #โปรเฟรช #นมสดแท้,3,0,0,,,,,
207461,https://www.facebook.com/pepea.akarajarikit/posts/pfbid02jiu8men7hNru2trY18o4U8KzxpgYK1uBeZEuSRkD8YLeeBCGw3oGF3bDDsNQ5vx9l,#ProFresh #โปรเฟรช #นมสดแท้,2,0,0,,,,,
232258,https://www.facebook.com/amblessty/posts/pfbid0CHJybxkf47QCtpnNJsAJpBRJgv41JrYYnAvRPVj5DpYviuW1aPcGMTjTrVaXmixCl,"อร่อยยยย ฟูฉ่ำ
.
#ProFresh #โปรเฟรช #นมสดแท้",2,0,0,,,,,
232306,https://www.facebook.com/tink.tonk.9/posts/pfbid0kDqn7pKezA4NerkSw9WwaeHejv9qDDBXfMorpqBNZETeTyNpv6LVXCFvgVkhwCV9l,อันนี้เริ่ด #ProFresh #โปรเฟรช #นมสดแท้,3,0,0,,,,,
232776,https://www.facebook.com/saintstst/posts/pfbid0dSgi2DGzrZ69yAvTgKAehCTUmrnKeXe1kXFd4rTGTDdXMGE9pVEXwvPoaxm5DKi1l,#ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
233875,https://www.facebook.com/meenisery/posts/pfbid0212T9jC3mpyLSrnSQZzXQ55jCiQfyidx6r138EJfj5w94mcAn2EfBCxSy6HcRmv6il,น่ากิงงง #ProFresh #โปรเฟรช #นมสดแท้,0,0,0,,,,,
258836,https://www.facebook.com/suminta.anuloet.2024/posts/pfbid02pG6YmKL4uZxRFqyuYWX3ZuxV9NDWnQ3uAZtCGuMpjUt7LvoKNabRgPvE1mfo1CKVl,#ProFresh #โปรเฟรช #นมสดแท้,0,0,0,,,,,
260023,https://www.facebook.com/Sommickez.lsll/posts/pfbid029QSFmpymEPw56QsCUtSoegCC1WAapv1gN86rA6K7X5th2EHgtjvFx3Sj3gfyruwRl,#ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
274021,https://www.facebook.com/peachchy.supichaya.58/posts/pfbid02tAGeZ3PKZQsWpTLJjCLb8Bc9iDBT4ZYWYRUe1i2UrAUhcbxL2QCefNiEFQ1U4xmtl,"นมสดอันนี้อร่อยมาก ใครเปิดร้านกาแฟแนะนำเลยค่ะ
￼ #ProFresh #โปรเฟรช #นมสดแท้",2,1,0,,,,,
299491,https://www.facebook.com/maiy.nana/posts/pfbid02u7K5VBmjTfkXLZeCiFuuHRNyQcAoRkpaBEFqCuRWA97ja6mhCKhfKgUqssB4cWCtl,"อันนี้ดีจริง
#ProFresh #โปรเฟรช #นมสดแท้",2,0,0,,,,,
312272,https://www.facebook.com/nayikabambo/posts/pfbid0fsTUTT8VXJ4K4qGrpdUhurjH1wipnthMXEXEkHmmYXkhvCigtcn9aYSMPMroLgKEl,ชอบจิง #ProFresh #โปรเฟรช #นมสดแท้,0,0,0,,,,,
315293,https://www.facebook.com/baitoeybtbt/posts/pfbid0wB7jtjcfK5hn948PRzcZ8uW8VbMuryxC5j3FnYAFsWPCSgdXm7972D7tan8FEGnBl,"นมสดที่ดีจริงๆลองเลย
#ProFresh #โปรเฟรช #นมสดแท้",0,0,0,,,,,
331662,https://www.facebook.com/kaero.jamjam/posts/pfbid0x4SoozLjePsduyYDhZh9Pt5W3UPKNWDoGistb1U4qmVEGQKyyvTzs6NYofsj9gPLl,#ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
484696,https://www.facebook.com/patarasaya/posts/pfbid0iWa19bGX6cFoXodEZ44sLg6yEdDrN118GmjN88AT1V3oBWYaoaD1bAVfhDxSpPvZl,"ว้าวววว 
 #ProFresh #โปรเฟรช #นมสดแท้",1,0,0,,,,,
488754,https://www.facebook.com/Bunnynnun/posts/pfbid0HPbd9oMDinX7SRyqDap9wn7nokR1Wn1amcaNPPZcXxtS9rs2S4qcCub4GfaQaBdDl,#ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
493116,https://www.facebook.com/mild.goodd/posts/pfbid02mEVBDRiU6Af4LUc7nKWayMWfBSzZRfds4MoZeZKnkZXHBzrFPYzuWcsDDBNYYVYql,#ProFresh #โปรเฟรช #นมสดแท้,4,0,0,,,,,
494207,https://www.facebook.com/atitaya.prathum/posts/pfbid035TCjoCtf9pGAvHJosRbFFpVaoqvJJ4GeHqHkconZ5r7FfHHWF7WAZ9rZjFz6oeQzl,#ProFresh #โปรเฟรช #นมสดแท้,1,1,0,,,,,
520048,https://www.facebook.com/permalink.php?story_fbid=pfbid02KUbqq8hLvNokBHMvRRHSvjwdZ3CJzVnE3u6ckN9EdoUcAmban8AbYo2qLZW7ybFkl&id=100060832849240,ตัวนี้ดีจริง #ProFresh #โปรเฟรช #นมสดแท้,0,0,0,,,,,
530741,https://www.facebook.com/m.mynnie/posts/pfbid02MMhfpN36XHrPm6QRik5bXJXVPnCFXQwTZE7ktvYeCrNHrUUmuYV5EQTnyCtYkY9al,"🥛
#ProFresh #โปรเฟรช #นมสดแท้",0,0,0,,,,,
539169,https://www.facebook.com/isfaif/posts/pfbid0mK5FKvg4fwrYYCnP9KCNLgP4S2REiynHXgGLqXmENvv8aZzLoY6mGKhZnb8NCePil,#ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
559321,https://www.facebook.com/petch.wp/posts/pfbid0N4z5RRsAid6cTGa1QD374CZGgo2EtAyfmwwFuKkRPkbfSavChX81i2n65qCUJdesl,#ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
565148,https://www.facebook.com/kikkee.nanaja/posts/pfbid02orwhcMKr6FDx5s4PktiJUz7LY2paXiWvbnojbuH6mW6rPBwNKr2v9SZ1asyCwc9ml,ดีจริง😍 #ProFresh #โปรเฟรช #นมสดแท้,0,0,0,,,,,
569821,https://www.facebook.com/cheewanut10/posts/pfbid033PWVgKLmVywbK73CtfZNM5CrUHa6qzuwnqHBATDQJa5NT3pwNLwn2aavfeccZeyal,ใครกำลังมองหานมสดอยู่ แนะนำนมสดยี่ห้อนี้เลย อร่อยมากๆ #ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
576279,https://www.facebook.com/lookkaew.sasiwan/posts/pfbid034HVZtnbVQJaqj44QiNB3ynfpZFGo6bBWzSTATp8t289nzP2rsqfMnDoYSQBp895Ml,"แนะนำเลยย 
#ProFresh #โปรเฟรช #นมสดแท้",2,0,0,,,,,
584717,https://www.facebook.com/pronyada.jainaknan/posts/pfbid0oZadDMDquwPWMtwzm8de8UQ6ccLF1xez5XkekePQBoJAZCH2P4E4pJi2U9npdPFXl,#ProFresh #โปรเฟรช #นมสดแท้,0,0,0,,,,,
588791,https://www.facebook.com/daranee.wongprathed/posts/pfbid0Ck4rPcfSW7Rugr5Upksf76kLMWqx9K5WKp52bjYnSiQTUXqWMd7QNbhnfD4PePvFl,#ProFresh #โปรเฟรช #นมสดแท้,1,0,0,,,,,
