Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
928557,https://www.facebook.com/share/p/1FmUXXE3Cn/,"นึกถึงวัยเด็กเลย เส้นเหนียวนุ่ม กับหมูสับก้อนใหญ่ๆ แบบนี้ ต้องมีติดบ้านไว้ตลอดเลยค่ะ
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",1,1,,,,,,
657550,https://www.facebook.com/share/p/1ApbEJ79vh/,"หิวตามเบยคร้าบบ
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",,,,,,,,
569920,https://www.facebook.com/share/p/1C6gKdE775/,"เห็นตอน 5 ทุ่ม หิวจะบ้าาาาา
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",,,,,,,,
657797,https://www.facebook.com/share/1DuDM2oKGu/?mibextid=wwXIfr,"ตอนเด็กชอบกินมากกก รสชาตินี้ที่คุ้นเคย😍
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",1,,,,,,,
3419181,https://www.facebook.com/share/18C2mEKXYL/?mibextid=wwXIfr,"เห็นเเบบนี้ก็ต้องมีหิวตามกันบ้างเเหละหอมอร่อยทำได้ง่ายๆด้วย 💓
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",,,,,,,,
48129,https://www.facebook.com/share/181Cd86KBy/?mibextid=wwXIfr,"ไปค่ะพี่ชาวีร์ ต้มตามด่วนๆ
#ยำยำจัมโบ้รสหมูสับ #รสครั้งแรกประทับใจไม่ลืม #อิ่มความสุขอร่อยโดนใจ",,,,,,,,
1274053,https://www.facebook.com/story.php?story_fbid=26120052200987815&id=100002291749282,#ยำยำจัมโบ้รสหมูสับ #รสครั้งแรกประทับใจไม่ลืม #อิ่มความสุขอร่อยโดนใจ,,,,,,,,
529511,https://www.facebook.com/share/1HKXWbXzz2/?mibextid=wwXIfr,"เมนูนี้ต้องมีติดบ้านจริง ๆ นะ บอกเลย!🦐🔥 
https://vt.tiktok.com/ZSmqu6yPY/
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",,,,,,,,
934042,https://www.facebook.com/share/p/1BubAAsbD3/,"น่าอีทมากก 🤤😍
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",1,,,,,,,
760071,https://www.facebook.com/share/18MGZcJ6UE/?mibextid=wwXIfr,"#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",,,,,,,,
770027,https://www.facebook.com/share/19Ge6jCvQx/?mibextid=wwXIfr,"รสนี้คือเริ่ดดดดด~ 🐷🍜✨
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",2,,,,,,,
734334,https://www.facebook.com/share/17p52Ei3Cr/?mibextid=wwXIfr,"โอ๊ยยย ดูแล้วน้ำลายไหลเลยอะ 🥹
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",2,,,,,,,
747303,https://www.facebook.com/share/1Jx6vAsiq5/?mibextid=wwXIfr,"คิดถึงตอนเด็กๆ
#ยำยำจัมโบ้รสหมูสับ
#รสครั้งแรกประทับใจไม่ลืม
#อิ่มความสุขอร่อยโดนใจ",1,,,,,,,
