Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
727871,https://www.tiktok.com/@dinacheira/video/7586892908985388308,,56,6,94,2,949,,,
737524,https://www.tiktok.com/@ririsvinaa/video/7585403194189073672,,134,14,17,21,183,,,
780513,https://www.tiktok.com/@yuli_mutia/video/7585493992276593940,,242,5,13,4,1348,,,
465600,https://www.tiktok.com/@apadimakassar/video/7597986108936326418,,42,3,24,35,9203,,,
3381572,https://www.tiktok.com/@siski_n/video/7585545579179183381,,138,24,92,31,384,,,
1266613,https://vt.tiktok.com/ZSP7y16mD/,,37,2,3,13,294,,,
1284367,https://www.tiktok.com/@wirahanumy/video/7570913214150544658,,"3,424",535,24,12,37000,,,
958538,https://www.tiktok.com/@risnaoktaviahardanik/video/7588108746170174727,,"2,392",23,12,194,1383,,,
248097,https://www.tiktok.com/@melysaha_/video/7582921058878098706,,28,75,243,10,613,,,
1136777,https://www.tiktok.com/@nisachacha4/video/7611021456666889493,,629,23,25,93,12,,,
261378,https://www.tiktok.com/@sitiialifahh/video/7581848351956602120,,284,934,134,183,32400,,,
254572,https://www.tiktok.com/@lilyhaniilfani/video/7581458618042633490,,74,2,1,38,1383,,,
736924,https://www.tiktok.com/@andiratnam/video/7584740094582590728,,23,243,22,1,712,,,
768071,https://vt.tiktok.com/ZSPxCYDph/,,132,34,1,12,123,,,
