Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
716354,https://www.facebook.com/nonthawhat.monmolee.2025/posts/pfbid07D9Fa7AX8tysdFxsEiJqNyjALmmSkv2TDUqarL4M7XiCh1P9oU5endYkx18AnLVPl,"เข้าเช็กยางรอบหน้า จะมองหน้าพี่ช่างแล้วอมยิ้มแน่เลย 😂
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",4,1,0,,,,,
756974,https://www.facebook.com/story.php?story_fbid=4061071604104320&id=100006045603506,"มีใครเป็นเหมือนกันมั้ย? ดูจบแล้วรู้สึกว่า COCKPIT คือ comfort zone ของรถและเรา
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",0,0,0,,,,,
934042,https://www.facebook.com/Tuckiiebfc/posts/pfbid0EydsP41G2FFyQ8JdxjFV1MRgWbAMHEzH9yxraaTTT1pwmZAKXaV2ni2fQ8B37i5ml,55555 โคตรจะใช่ ลองไปที่อื่นดูได้ กลับมาเป๋าตังฟีบแน่นอน #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,0,0,0,,,,,
977895,https://www.facebook.com/share/1CgXNyCted/?mibextid=wwXIfr,"ถ้าบริการดีขนาดนี้ แล้วใครจะไม่กลับมาใช้ซ้ำล่ะครับ ❤️
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",2,0,0,,,,,
978217,https://www.facebook.com/cheekymindmy/posts/pfbid0vRG6Ra5URAmacfBXEbKHw1zcYQpUYJnfEPTsLAXJiVhWfhFVBXVj7gjXMsbwDNEql,"อินจัดเลยเรื่องนี้ เรื่องจริงผ่านจอชัดๆ
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",0,0,0,,,,,
978362,https://www.facebook.com/no.ey.802281/posts/pfbid02ZJMoRE56PddUeKDyigsofbcuVFak9B62cA92pNs3kU1CfgE69jheurai8n9ifppYl,"พอได้ยินพี่ช่างพูดว่า ""แต่ผมอขากให้พี่คุ้มมากว่า"" ใจมันก็อุ่นขึ้นมาทันทีเลยอะ
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",1,1,0,,,,,
1288018,https://www.facebook.com/share/p/1Fwhzkbewi/,"ชอบความขำที่แฝงด้วยสาระ โฆษณานี้คือของดีที่อยากส่งต่อ
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",1,0,0,,,,,
1291492,https://www.facebook.com/share/1E97mB9j3s/?mibextid=wwXIfr,หนังดีจนอยากเอารถไปเช็กระยะด่วน ๆ เผื่อได้เจอพี่ช่างตัวจริง 🤣👏 #POV #เรื่องนี้ต้องดู #คนไทยเป็นคนตลก,2,0,0,,,,,
1328079,https://www.facebook.com/share/1BfasEzf4j/?mibextid=wwXIfr,ไอเดียนี้คือดีมากกกกกกก! ชอบความเรียบง่ายแต่โดนใจสุด ๆ ❤️ #เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #POV,1,0,0,,,,,
1352567,https://www.facebook.com/share/15zeLi9sGo/?mibextid=wwXIfr,"เอ็นดูพี่ผู้หญิงร้องไห้ แต่ร้องเพราะพี่ช่างจริงใจเกิน55555
#เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #POV",5,0,0,,,,,
193074,https://www.facebook.com/akkarapol.imkasem/posts/pfbid02dbgkMv8Zrm4MSZvuVLzmfgDikCW7VxfgyynMhVAXd4JsxgusjJ69B25jo8WQVAs6l,เรื่องรถไม่ใช่เรื่องยาก ถัาเจอพี่ช่างน่ารักแบบในหนังนี้ #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,0,0,0,,,,,
594814,https://www.facebook.com/100005660357926/posts/2897538963778087/?mibextid=wwXIfr&rdid=zl7xlyVryjsycgcZ#,"ไม่คิดว่าหนังที่พูดเรื่องศุนย์บริการจะอบอุ่นได้ขนาดนี้
#เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #POV",0,0,0,,,,,
949874,https://www.facebook.com/reviewbyjesse/posts/pfbid0stox5nyhUQCZQAR94rCENz7JR4q5nmoRXE2rGa2AFjGEakdwcDhzkn5x52jpeTJul,เคยโดนที่อื่นมาเหมือนกัน เข็ดเลยย ไม่ต้องพูดชื่อเนอะ🤫 #เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #POV,0,0,0,,,,,
1274803,https://www.facebook.com/story.php?story_fbid=122138471102807442&id=61574223268208&rdid=xH1CDU7HjN9glU6T#,"คิดว่าดูเรื่องตัวเองตอนเข้าศูนย์ครั้งแรก 555
#เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #POV",0,0,0,,,,,
1347985,https://www.facebook.com/bestz.rattanachuchote/posts/pfbid09W45cvskAGHdRNem5qCdgd7tVWYBQmmk7vE1URysakZtFmh3ZtWeoL4Ccm1CsXR4l,"เรื่องนี้จริงมาก ไว้ใจค็อกพิทจบจริงไม่บานปลาย
#เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #POV",0,0,0,,,,,
1349198,https://www.facebook.com/cgamemie/posts/pfbid0ery3h8TWEDYh5JfyD2nAu9RvMwicBmvzzXjbL4KoctRF5HA6FBvmPNVGyW6G7vAKl,"ดูจบแล้ว เลี้ยวเข้าค็อกพิทปั้บ 
#เรื่องนี้ต้องดู #คนไทยเป็นคนตลก #POV",0,0,0,,,,,
