Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
67046,https://www.facebook.com/share/1ArS7hzKQT/?mibextid=wwXIfr,"เค้าเล่นใหญ่ในพื้นที่เล็ก ๆ โคตรได้
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",3,0,0,,,,,
661001,https://www.facebook.com/share/1CWrAAC4mk/?mibextid=wwXIfr,เห็นแล้วยิ้มเลย เป็นขาประจำที่ไม่คิดว่าจะเจอมุมนี้ของ COCKPIT #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,0,0,0,,,,,
993174,https://www.facebook.com/14wenoct/posts/pfbid02shLaWB5J1S1zF65stdkF9uvom7CVJKQ51bzoadtZe1Y1s6TVYrredWHdL9YHAYr3l,เห็นโฆษณาแล้วอยากวาร์ปไปใช้บริการทันที! โปรโมทน่ารักขนาดนี้ จะพลาดได้ไง 😆 #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,0,0,0,,,,,
585848,https://www.facebook.com/share/16MsYdGAku/?mibextid=wwXIfr,"ไม่เคยคิดว่าหนังของศูนย์บริการจะทำให้รีบอยากไปใช้จริงขนาดนี้ ขายเก่งทั้งฮาทั้งซึ้ง!""
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",3,0,1,,,,,
27737,https://www.facebook.com/Kaben69Channel/posts/pfbid02WvyPrGccWC9KSj8Lt22ReveT86XdyxczCZx2odAaWycJDhxaHca5v7YmM8JoBrQBl,ใครที่คิดว่าศูนย์บริการน่ากลัว ลองดูคลิปนี้ก่อน #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,2,1,0,,,,,
35205,https://www.facebook.com/namfon.s.kanogon/posts/pfbid0tP6QVLtvZfguCA4uvgtizR27P1FoYuLM4VNbbTExtb3USJjpTiYa7Jat11m8Qy97l,"หนังนี้คือไม่ธรรมดา ขำแล้วแอบซึ้งอีก
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",0,0,0,,,,,
45747,https://www.facebook.com/fluke.panupong.314145/posts/pfbid02jBP9pSy4MJZfXKbPTJ7DY1zfKE73i8Gr4yStXcCWNE2DNpGznzpQEdMXkGHeY7mkl,ขอภาคต่อได้ไหม อยากเห็นพี่ช่างกับเรื่องราวใหม่ ๆ อีก #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,1,0,0,,,,,
211107,https://www.facebook.com/100001826141216/posts/30953187850992015/?mibextid=wwXIfr&rdid=g652UlZeDTjMyKiH#,พี่ช่างเล่นใหญ่แต่จริงใจสุด ๆ ทำให้รักศูนย์บริการนี้เลย #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,2,0,0,,,,,
237595,https://www.facebook.com/100001916073178/posts/31081797051467425/?mibextid=wwXIfr&rdid=Rj04CbFCoaZHtvYw#,ดูหนังใหม่นี้แล้วอยากพารถไปเช็คที่ COCKPIT เลย #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,3,0,0,,,,,
299491,https://www.facebook.com/100001341587187/posts/24364190783208969/?mibextid=wwXIfr&rdid=0aFHnV9H2dNYdzxt#,"แค่มี COCKPIT อยู่ใกล้ ๆ ก็รู้สึกอุ่นใจขึ้นมาทันที
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",0,0,0,,,,,
306606,https://www.facebook.com/piboon.agriculture/posts/pfbid08j4RLfZhWmmj1Q6nPyEfv8M1vwTVdNPNEkXZUToqssHatFAgCYrJBCBKTYacigqBl,นี่มันเรื่องจริงที่เจอเองที่ค็อกพิทเลยนะ #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,0,0,0,,,,,
312272,https://www.facebook.com/share/1eZSoVWHdj/?mibextid=wwXIf,"ความตลกแบบพอดี ๆ ผสมบทพูดดี ๆ คือดูจบแล้วประทับใจเฉย
#คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู",0,0,0,,,,,
484522,https://www.facebook.com/share/1BF5yzWp3m/?mibextid=wwXIfr,เซอร์ไพรส์หนักมากกก #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,3,0,0,,,,,
712755,https://www.facebook.com/phrrn.nipha.photh.aphi.rati/posts/pfbid0tUzYuEDA43KErDAuYPGbpG9c5HH98n7E43JPzKWQ5cTzfwDRKzGmafFQPEFzdPqml,หนังใหม่ของ COCKPIT บอกทุกอย่าง ใส่ใจเว่อร์  #คนไทยเป็นคนตลก #POV #เรื่องนี้ต้องดู,2,0,0,,,,,
